Using field units, Initial reservoir pressure [psi]: ,0,,,,,,,,
,Well_1A,Well_10A,Well_11A,Well_3A,Well_5A,Well_6A,Well_7A,Well_9A,Well_2A,Well_4A
Time,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP
hours,psi,psi,psi,psi,psi,psi,psi,psi,psi,psi
0,2239.392264,1590.398131,1308.491605,1703.741759,1643.380471,1308.049782,1145.43224,1327.953573,302.874959,1703.741759
0.081180205,2240.238534,1589.273793,1308.348605,1702.626862,1625.450376,1332.492889,1156.968059,1318.262944,294.7703692,1702.626862
0.160882133,2245.348945,1589.722654,1307.620047,1702.107065,1608.642697,1345.371074,1163.117641,1325.554479,298.0677981,1702.107065
0.247107887,2237.30573,1589.124436,1307.514886,1703.146527,1599.615011,1353.388515,1169.718807,1331.735257,297.1423945,1703.146527
0.328324434,2245.45404,1589.56137,1307.261946,1702.891288,1600.275539,1324.868411,1167.423827,1323.811122,299.7045218,1702.891288
0.411819245,2230.668329,1589.520715,1307.315518,1702.799246,1606.777503,1289.636622,1160.408867,1320.099123,296.0321667,1702.799246
0.492733045,2245.394916,1588.933131,1307.54082,1702.350424,1608.194256,1289.442164,1157.792767,1329.857299,293.0393493,1702.350424
0.577283538,2230.891263,1589.876399,1307.850209,1702.963624,1604.844258,1303.413792,1150.280476,1330.181021,298.2489431,1702.963624
0.656188356,2242.448733,1589.717941,1307.528949,1702.546645,1600.333592,1306.263693,1146.341254,1319.451638,297.8417366,1702.546645
0.740808954,2229.149178,,1308.401137,,1597.277857,1302.536977,1145.430821,1324.911224,298.2615,
0.82947039,2241.223524,,1308.202705,1702.948442,,,,1334.589124,296.3998244,1702.948442
0.829724369,,,,,1612.863878,1320.937459,1154.947004,,,
0.920194305,2233.58533,1589.304094,1306.825071,1702.581722,1637.936908,1340.121149,1163.234617,1325.12129,301.0350133,1702.581722
1.005862763,2236.195194,1589.40362,1307.045109,1702.269736,1658.858059,1353.524587,1173.651288,1318.777975,290.4553845,1702.269736
1.087025587,2239.622223,1589.748329,1308.527757,1703.055264,1671.729558,1327.741087,1165.900611,1328.367235,295.8356962,1703.055264
1.171746231,2233.232617,,,1703.853011,,,,,289.1899193,1703.853011
1.172039112,,1589.487675,1309.057191,,1662.021472,1295.968413,1164.023607,1333.918855,,
1.262063775,,,,,1657.006147,1290.665462,1150.417878,,,
1.262360317,2245.757585,,1308.573508,1702.110292,,,,1322.240975,296.9602137,1702.110292
1.341165905,2229.006401,1589.006259,1307.898005,1701.940175,1656.882093,1300.789817,1146.817989,1324.383112,301.9620299,1701.940175
1.422141729,,,,,1651.207121,1308.430725,1144.431794,,,
1.422427534,2248.309668,1589.360967,1309.221113,1702.445734,,,,1330.150399,292.3031817,1702.445734
1.498195909,2226.961512,1589.38163,1307.198053,1703.149592,1642.294053,1303.301221,1144.053048,1327.072872,295.6818541,1703.149592
1.58507936,2245.886434,1588.987548,1307.416711,1703.786165,1627.700359,1316.067535,1153.399323,1318.502227,301.7858684,1703.786165
1.660508408,2229.054784,1588.356434,1308.989036,1702.338907,1601.971312,1334.690815,1156.474603,1325.093882,307.6145561,1702.338907
1.748157552,2241.617239,1588.761554,1308.302909,1702.798999,1595.847711,1349.621484,1164.214367,1331.997181,294.4739841,1702.798999
1.823611628,2230.871626,1589.711469,1308.42252,1703.665191,1603.321271,1334.271067,1164.9677,1323.074699,294.0631489,1703.665191
1.907357062,2234.238547,1588.011768,1308.094479,1703.930071,1603.193891,1299.911099,1159.975288,1321.2093,292.4994708,1703.930071
1.993521686,2234.613683,1589.32498,1307.575619,1702.939154,1611.59439,1292.159387,1151.502615,1330.633419,306.0037,1702.939154
2.082032413,2230.850646,,1308.56149,1702.126483,1611.314546,1297.805212,1147.815592,1329.073833,300.092111,1702.126483
2.159422402,2241.006771,1589.425607,1308.412762,1701.76558,1603.448089,1309.425121,1144.013309,1320.202646,293.6715444,1701.76558
2.237431138,2224.765299,1589.100359,1307.224528,1703.357043,1600.587423,1300.787872,1144.927585,1325.179758,292.6912475,1703.357043
2.31553255,2246.574163,,,1704.226542,1615.251325,1312.894591,1147.586795,,301.4865999,1704.226542
2.315820053,,1589.622463,1308.606098,,,,,1330.990407,,
2.404248319,2224.313857,1589.058756,1308.843023,1702.902572,1637.347927,1335.958621,1154.583171,1325.020037,299.8854392,1702.902572
2.486083348,2248.661473,1589.464207,1307.69444,1701.769387,1661.611505,1353.327694,1164.914691,1319.743817,286.1914331,1701.769387
2.5614678,2228.890615,,,1702.659525,1672.03436,1341.763942,1163.821203,,300.1093539,1702.659525
2.561742926,,,1308.560158,,,,,1327.099929,,
