Time,Detrended Pressure
600.0369294,0.046223573760016734
600.204976,-1.423902848281159
600.2890448,-0.15936410812992108
600.3752863,-2.9138328556468878
600.3755463,-0.916107420379376
600.4596091,-3.6515161902725595
600.5448564,-4.397287352186595
600.6294907,-3.1376957903280527
600.7051858,-3.7999011936453826
600.7054382,-4.802109271100562
600.7814505,-5.467089643390864
600.8666947,-7.212833685494388
600.9435131,-5.884866083287761
601.0302504,-6.6436722507824015
601.1210602,-7.438105975477811
601.2120471,-8.234089028687777
601.2876692,-9.895655804215039
601.4479263,-10.29763714171122
601.5379528,-13.08521830273412
601.6223183,-11.823275190875847
601.7034849,-14.533347059317293
601.8703672,-14.993287805521504
601.9574926,-15.755489198294981
602.0452803,-17.523484607308546
602.1228602,-16.202178855269267
602.2129231,-18.990078455353796
602.302211,-19.77119810287195
602.3916351,-20.553509272376687
602.5554452,-21.986573411771587
602.8922227,-23.93281273526327
602.981666,-25.71529187262513
603.0710744,-24.497465693413233
603.1562958,-27.24301027368665
603.2369421,-27.94853038816609
603.320637,-26.680720648963415
603.4028196,-28.3996808165125
603.5701524,-29.863562683531654
603.5704159,-30.86586786740463
603.6603777,-29.65288301174178
603.7511515,-31.44700179670417
603.8372684,-33.20038050281528
603.9137857,-33.86977877968138
603.9909442,-34.54478648311124
604.0748697,-35.27899410785949
604.1504206,-35.93993800258295
604.2347333,-34.67753297911668
604.3121722,-37.35499371312653
604.3878105,-38.0167022115329
604.5416804,-38.3628062418843
604.71943,-39.91781767006751
604.7963171,-40.59045107784914
604.7965896,-39.5928349966548
604.8767042,-41.29370362625741
604.9526822,-41.958383930969376
605.1190391,-44.41372830674936
605.2082776,-43.194415786967966
605.2085374,-44.19668860203501
605.2922925,-44.92940551205129
605.3742317,-45.64623633707788
605.5515568,-48.197534100919256
605.6320282,-46.90152413320038
605.7225454,-47.693398097738736
605.8064614,-48.42752261339092
605.8885709,-49.1458432783179
605.9696796,-50.855408618690035
606.0599171,-52.64483567647585
606.139397,-53.34015174363367
606.3058767,-53.79657041383325
606.3859772,-54.49731569204005
606.4744973,-55.271718374937336
606.5531037,-56.95939277942716
606.5533577,-54.96161485420407
606.6339257,-57.66644997476624
606.7976625,-58.09887286187313
606.8813338,-59.830856662179485
606.8816033,-57.83321433600804
606.9618161,-60.53494205121251
606.9621032,-58.53745369557646
607.0376583,-61.198434333268324
607.1248731,-59.96141782637778
607.2094821,-60.701604931874044
607.2904731,-61.410140594288805
607.3808417,-62.200714557598985
607.3817103,-64.2083133534702
607.538537,-65.58028443382273
607.6257346,-64.34311745572631
607.7064529,-67.04926744966997
607.7965445,-67.83741812670814
607.8791982,-66.56049963058558
607.9594116,-68.26223259478593
608.1194255,-68.66208633942506
608.1963651,-69.33517903431675
608.2776696,-70.046457296899
608.3559713,-70.73146608648949
608.3562605,-71.73399610233764
